ID_Number,Forest_Type,Plot,Layer,pH,Org_Matter,Bulk_Density,Mic_BiomassC,Mic_BiomassN
E23 R1 O,Degraded,E23 R1,O,3.54,1.1066,1.237,2.307310176,0.008152139
E23 R2 O,Degraded,E23 R2,O,3.95,0.4759,1.271,1.002261362,0.009931839
E23 R3 O,Degraded,E23 R3,O,3.94,1.0702,1.229,1.611622355,0.053458569
E1 R1 OM,Degraded,E1 R1,OM,3.91,0.3820,1.133,1.039644825,0.03807569
E1 R2 OM,Degraded,E1 R2,OM,4.18,0.4750,1.338,1.473687785,0.052146622
E1 R3 OM,Degraded,E1 R3,OM,4.20,0.4894,1.498,1.720627995,0.09978455
E3 R1 OM,Degraded,E3 R1,OM,3.60,0.4505,1.118,0.727769723,0.050541662
E3 R2 OM,Degraded,E3 R2,OM,3.80,0.3339,1.366,0.173685409,0.009209831
E3 R3 OM,Degraded,E3 R3,OM,3.73,0.3960,1.308,0.940661406,0.03541678
E7 R1 OM,Degraded,E7 R1,OM,3.81,0.3332,1.375,0.021727659,0.042679331
E7 R2 OM,Degraded,E7 R2,OM,3.80,0.4268,1.217,0.798148597,0.04364791
E7 R3 OM,Degraded,E7 R3,OM,3.64,0.3982,1.394,0.807520419,0.046899882
E9 R1 OM,Degraded,E9 R1,OM,3.77,0.4625,1.232,0.547962217,0.004191212
E9 R2 OM,Degraded,E9 R2,OM,3.74,0.4452,1.556,1.920807893,0.093000489
E9 R3 OM,Degraded,E9 R3,OM,3.75,0.5109,1.152,0.241279752,0.00591722
E11 R1 OM,Degraded,E11 R1,OM,3.79,0.4288,1.233,1.403272035,0.022751522
E11 R2 OM,Degraded,E11 R2,OM,3.73,0.3782,1.296,3.098649482,0.173873743
E11 R3 OM,Degraded,E11 R3,OM,3.79,0.4595,1.242,1.150273547,0.052396977
E13 R1 OM,Degraded,E13 R1,OM,3.78,0.5256,1.200,1.66634987,0.095725359
E13 R2 OM,Degraded,E13 R2,OM,3.72,0.3845,1.351,0.192183837,0.002936858
E13 R3 OM,Degraded,E13 R3,OM,3.90,0.3944,1.258,0.330342188,0.14282138
E15 R1 OM,Degraded,E15 R1,OM,3.65,0.7133,0.718,5.069566096,0.11087212
E15 R2 OM,Degraded,E15 R2,OM,3.89,0.4304,1.150,0.426682201,0.016045295
E15 R3 OM,Degraded,E15 R3,OM,3.89,0.3230,1.453,1.114763613,0.041478413
E17 R1 OM,Degraded,E17 R1,OM,3.56,0.5098,1.800,1.276311982,0.184954516
E17 R2 OM,Degraded,E17 R2,OM,3.98,0.4910,1.231,0.221855809,0.069969909
E17 R3 OM,Degraded,E17 R3,OM,3.66,0.3381,1.371,2.111846279,0.067675761
E19 R1 OM,Degraded,E19 R1,OM,3.76,0.5127,1.279,0.069394877,0.123820287
E19 R2 OM,Degraded,E19 R2,OM,3.80,0.4397,1.323,2.17245648,0.039155029
E19 R3 OM,Degraded,E19 R3,OM,3.85,0.3824,1.467,1.723035604,0.071044362
E21 R1 OM,Degraded,E21 R1,OM,3.49,0.3272,1.286,1.453569114,0.06532317
E21 R2 OM,Degraded,E21 R2,OM,3.55,0.4756,1.298,1.966765376,0.044233667
E21 R3 OM,Degraded,E21 R3,OM,3.28,1.6842,1.263,0.051499936,0.03167246
E23 R1 OM,Degraded,E23 R1,OM,3.78,0.4930,1.179,2.357014613,0.128420746
E23 R2 OM,Degraded,E23 R2,OM,3.95,0.4790,1.406,0.777808023,0.002016353
E23 R3 OM,Degraded,E23 R3,OM,3.96,0.4984,1.246,1.35210197,0.051111891
E1 R1 M,Degraded,E1 R1,M,3.88,0.4223,2.239,1.079449231,0.049039099
E1 R2 M,Degraded,E1 R2,M,4.06,0.2771,1.359,1.499620349,0.064540623
E1 R3 M,Degraded,E1 R3,M,3.98,0.3675,1.353,1.034384011,0.046905242
E3 R1 M,Degraded,E3 R1,M,3.68,0.3434,1.393,0.417777778,0.009537865
E3 R2 M,Degraded,E3 R2,M,3.93,0.3898,1.390,0.457334811,0.006779078
E3 R3 M,Degraded,E3 R3,M,3.75,0.3751,1.464,1.049346444,0.048001463
E7 R1 M,Degraded,E7 R1,M,3.82,0.4175,1.465,0.050788152,0.363162017
E7 R2 M,Degraded,E7 R2,M,3.81,0.4382,1.400,0.754424181,0.029778522
E7 R3 M,Degraded,E7 R3,M,3.48,0.3645,1.335,0.114397388,0.003866208
E9 R1 M,Degraded,E9 R1,M,3.92,0.4623,1.312,1.279708905,0.250494024
E9 R2 M,Degraded,E9 R2,M,3.87,0.4340,1.467,1.573615443,0.054933855
E9 R3 M,Degraded,E9 R3,M,3.71,0.4339,1.477,0.965297676,0.012938555
E11 R1 M,Degraded,E11 R1,M,3.76,0.3462,1.525,2.596845765,0.06643214
E11 R2 M,Degraded,E11 R2,M,3.72,0.4470,1.429,2.323241425,0.072235238
E11 R3 M,Degraded,E11 R3,M,3.80,0.4082,1.497,0.056081631,0.121295138
E13 R1 M,Degraded,E13 R1,M,3.80,0.4430,1.496,1.765356679,0.0975409
E13 R2 M,Degraded,E13 R2,M,3.70,0.2978,1.384,1.045696357,0.164972565
E13 R3 M,Degraded,E13 R3,M,3.83,0.3362,0.758,0.442528234,0.086176551
E15 R1 M,Degraded,E15 R1,M,3.84,0.4462,0.782,2.208668682,0.058579721
E15 R2 M,Degraded,E15 R2,M,3.92,0.4754,1.312,1.774888781,0.088667604
E15 R3 M,Degraded,E15 R3,M,3.93,0.4005,1.330,1.876056898,0.085347657
E17 R1 M,Degraded,E17 R1,M,3.59,0.4364,1.301,0.36929957,0.08994721
E17 R2 M,Degraded,E17 R2,M,3.89,0.6179,1.311,0.246852874,0.002781441
E17 R3 M,Degraded,E17 R3,M,3.68,0.5182,1.584,2.338253986,0.085224198
E19 R1 M,Degraded,E19 R1,M,3.81,0.3951,1.463,2.463620276,0.006949564
E19 R2 M,Degraded,E19 R2,M,4.05,0.3802,1.289,1.164192573,0.015335192
E19 R3 M,Degraded,E19 R3,M,3.98,0.2880,1.296,2.482781659,0.108762932
E21 R1 M,Degraded,E21 R1,M,3.51,2.6580,1.391,0.473943331,0.010265367
E21 R2 M,Degraded,E21 R2,M,3.57,5.6891,1.233,1.815746163,0.018729029
E21 R3 M,Degraded,E21 R3,M,3.28,0.3910,1.167,0.685312974,0.039160741
E23 R1 M,Degraded,E23 R1,M,3.83,0.4068,1.410,1.239042775,0.044002924
E23 R2 M,Degraded,E23 R2,M,3.92,0.3309,1.381,0.390244889,0.092910635
E23 R3 M,Degraded,E23 R3,M,3.98,0.4725,1.298,1.003059009,0.036461417
